Date,Conical,EggDonor,SpermDonor,Cross,DayPostFert,Initial.Total,Swimming,On.CCA,Settled,Total.Larvae,Total,Prop.SettledAlive,Prop.Larvae,Dead,Survival,SumTotal,Initial,Notes
20160711,L13,173,119,BB,7,15,0,0,2,0,2,0.13,0.00,0.87,0.13,1,BL,
20160801,L13,173,119,BB,28,15,0,0,2,0,2,0.13,0.00,0.87,0.13,1,EVDS,
20160825,L13,173,119,BB,53,15,0,0,2,0,2,0.13,0.00,0.87,0.13,1,BL,
20160711,L14,173,149,BB,7,10,3,3,0,6,6,0.00,0.60,0.40,0.60,1,BL,
20160801,L14,173,149,BB,28,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,EVDS,
20160825,L14,173,149,BB,53,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160711,L3,149,119,BB,7,15,10,1,1,11,12,0.07,0.73,0.20,0.80,1,BL,
20160802,L3,149,119,BB,28,15,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160825,L3,149,119,BB,53,15,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160711,L4,149,173,BB,7,10,4,3,3,7,10,0.30,0.70,0.00,1.00,1,BL,
20160801,L4,149,173,BB,28,10,2,2,5,4,9,0.50,0.40,0.10,0.90,1,EVDS,
20160825,L4,149,173,BB,53,10,0,0,5,0,5,0.50,0.00,0.50,0.50,1,BL,
20160711,L5,119,149,BB,7,15,11,1,0,12,12,0.00,0.80,0.20,0.80,1,BL,
20160801,L5,119,149,BB,28,15,2,2,6,4,10,0.40,0.27,0.33,0.67,1,EVDS,Resurrection is not an option - need to recheck.
20160825,L5,119,149,BB,53,15,0,1,6,1,7,0.40,0.07,0.53,0.47,1,BL,
20160711,L6,119,173,BB,7,10,5,1,2,6,8,0.20,0.60,0.20,0.80,1,BL,
20160801,L6,119,173,BB,28,10,0,0,2,0,2,0.20,0.00,0.80,0.20,1,EVDS,
20160825,L6,119,173,BB,53,10,0,0,2,0,2,0.20,0.00,0.80,0.20,1,BL,
20160712,S20,119,123,BB,7,11,7,0,0,7,7,0.00,0.64,0.36,0.64,1,BL,
20160802,S20,119,123,BB,28,11,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160826,S20,119,123,BB,53,11,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160712,S21,123,119,BB,7,10,5,0,0,5,5,0.00,0.50,0.50,0.50,1,BL,
20160802,S21,123,119,BB,28,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160826,S21,123,119,BB,53,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160712,L1,119,120,BNB,7,10,5,1,0,6,6,0.00,0.60,0.40,0.60,1,BL,
20160802,L1,119,120,BNB,28,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160826,L1,119,120,BNB,53,10,0,0,0,0,0,0.00,0.00,1.00,0.00,1,BL,
20160712,L12,123,124,BNB,7,10,6,0,1,6,7,0.10,0.60,0.30,0.70,1,BL,
20160802,L12,123,124,BNB,28,10,1,2,1,5,4,0.10,0.50,0.60,0.40,1,BL,
20160826,L12,123,124,BNB,53,10,1,2,1,5,4,0.10,0.50,0.60,0.40,1,BL,
20160712,S17,123,120,BNB,7,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1,BL,
20160802,S17,123,120,BNB,28,10,2,1,0,3,3,0.00,0.30,0.70,0.30,1,BL,
20160826,S17,123,120,BNB,53,10,0,0,4,0,4,0.40,0.00,0.60,0.40,1,BL,1 new settler?
20160712,S23,119,124,BNB,7,10,8,0,0,8,8,0.00,0.80,0.20,0.80,1,BL,
20160802,S23,119,124,BNB,28,10,2,1,0,3,3,0.00,0.30,0.70,0.30,1,BL,
20160826,S23,119,124,BNB,53,10,1,0,1,1,2,0.10,0.10,0.80,0.20,1,BL,
20160712,L11,124,123,NBB,7,10,7,0,0,7,7,0.00,0.70,0.30,0.70,1.00,BL,
20160802,L11,124,123,NBB,28,10,1,4,0,5,5,0.00,0.50,0.50,0.50,1.00,BL,
20160826,L11,124,123,NBB,53,10,0,4,0,4,4,0.00,0.40,0.60,0.40,1.00,BL,
20160712,L2,120,119,NBB,7,11,10,0,0,10,10,0.00,0.91,0.09,0.91,1.00,BL,
20160802,L2,120,119,NBB,28,10,3,1,5,4,9,0.50,0.40,0.10,0.90,1.00,BL,
20160826,L2,120,119,NBB,53,10,3,0,5,3,8,0.50,0.30,0.20,0.80,1.00,BL,
20160713,S18,118,149,NBB,7,11,11,0,0,11,11,0.00,1.00,0.00,1.00,1.00,BL,
20160803,S18,118,149,NBB,28,11,2,1,6,3,9,0.55,0.27,0.18,0.82,1.00,BL,
20160826,S18,118,149,NBB,53,11,3,0,6,3,9,0.55,0.27,0.18,0.82,1.00,BL,
20160712,S24,124,119,NBB,7,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1.00,BL,
20160802,S24,124,119,NBB,28,10,2,1,0,3,3,0.00,0.30,0.70,0.30,1.00,BL,
20160826,S24,124,119,NBB,53,10,0,1,1,1,2,0.10,0.10,0.80,0.20,1.00,BL,
20160711,L10,116,150,NBNB,7,15,9,1,0,10,10,0.00,0.67,0.33,0.67,1,BL,
20160801,L10,116,150,NBNB,28,15,0,0,1,0,1,0.07,0.00,0.93,0.07,1,EVDS,
20160815,L10,116,150,NBNB,53,15,0,0,1,0,1,0.07,0.00,0.93,0.07,1,BL,
20160711,L15,150,120,NBNB,7,10,1,1,2,2,4,0.20,0.20,0.60,0.40,1,BL,
20160801,L15,150,120,NBNB,28,10,0,0,1,0,1,0.10,0.00,0.90,0.10,1,EVDS,
20160825,L15,150,120,NBNB,53,10,0,0,1,0,1,0.10,0.00,0.90,0.10,1,BL,
20160711,L16,150,116,NBNB,7,10,4,2,2,6,8,0.20,0.60,0.20,0.80,1,BL,
20160801,L16,150,116,NBNB,28,10,0,0,3,0,3,0.30,0.00,0.70,0.30,1,EVDS,
20160825,L16,150,116,NBNB,53,10,0,0,3,0,3,0.30,0.00,0.70,0.30,1,BL,
20160711,L7,120,150,NBNB,7,10,5,1,1,6,7,0.10,0.60,0.30,0.70,1,BL,
20160801,L7,120,150,NBNB,28,10,0,0,10,0,10,1.00,0.00,0.00,1.00,1,EVDS,Need to recheck
20160825,L7,120,150,NBNB,53,10,0,0,10,0,10,1.00,0.00,0.00,1.00,1,BL,
20160711,L8,120,116,NBNB,7,10,9,1,0,10,10,0.00,1.00,0.00,1.00,1,BL,
20160801,L8,120,116,NBNB,28,10,0,0,4,0,4,0.40,0.00,0.60,0.40,1,EVDS,
20160825,L8,120,116,NBNB,53,10,0,0,4,0,4,0.40,0.00,0.60,0.40,1,BL,
20160711,L9,116,120,NBNB,7,11,9,2,0,11,11,0.00,1.00,0.00,1.00,1,BL,
20160801,L9,116,120,NBNB,28,11,1,1,7,2,9,0.64,0.18,0.18,0.82,1,EVDS,EVDS wrote only 1 settler€.there are actually 9 settled as of 8/25
20160825,L9,116,120,NBNB,53,11,0,0,9,0,9,0.82,0.00,0.18,0.82,1,BL,
20160712,S22,120,124,NBNB,7,10,8,2,0,10,10,0.00,1.00,0.00,1.00,1,BL,
20160802,S22,120,124,NBNB,28,10,5,0,2,5,7,0.20,0.50,0.30,0.70,1,BL,
20160826,S22,120,124,NBNB,53,10,1,0,6,1,7,0.60,0.10,0.30,0.70,1,BL,