,Parental.Performance,Year,SpawningMonth,N,microL.cm2,sd,se,ci,totalcol,propspawn
1,Bleach,2016,1,6,9.587666667,7.027154863,2.86882396,7.37454676,8,0.75
2,Bleach,2016,2,8,15.737875,16.28995987,5.759370546,13.61874727,8,1
3,Bleach,2016,3,3,1.397333333,1.439244362,0.83094812,3.575281196,8,0.375
4,Bleach,2017,1,4,10.8325,15.83100322,7.915501611,25.19065886,8,0.5
5,Bleach,2017,2,8,18.399625,15.17060327,5.363618225,12.68294173,8,1
6,Bleach,2017,3,0,0,0,0,0,8,0
7,Nonbleach,2016,1,4,7.3665,9.16872083,4.584360415,14.58948087,7,0.571428571
8,Nonbleach,2016,2,7,9.003,6.088947555,2.301405854,5.631337258,7,1
9,Nonbleach,2016,3,0,0,0,0,0,7,0
10,Nonbleach,2017,1,4,3.067299854,3.179623769,1.589811884,5.059490958,7,0.571428571
11,Nonbleach,2017,2,7,16.7010604,10.75428359,4.064737131,9.946053458,7,1
12,Nonbleach,2017,3,0,0,0,0,0,7,0